Query,Title,Price,Reviews,ImageUrl
headphone,boAt Bassheads 900 On Ear Wired Headphones(Carbon Black),599,"34,667",https://m.media-amazon.com/images/I/61xeIT6UHrL._AC_UY218_.jpg
headphone,"Boult Audio Bass Buds Q2 Over-Ear Wired Lightweight Stereo Headphones, Deep Bass & in-Built Mic, Headset with Comfortable ...",498,"2,277",https://m.media-amazon.com/images/I/71rSu40EANL._AC_UY218_.jpg
headphone,boAt Rockerz 450 Bluetooth On-Ear Headphone with Mic(Luscious Black),999,"23,314",https://m.media-amazon.com/images/I/61ihz46SLOL._AC_UY218_.jpg
headphone,JBL C100SI In-Ear Deep Bass Headphones with Mic (Black),599,"108,929",https://m.media-amazon.com/images/I/61ptzNC8r8L._AC_UY218_.jpg
headphone,"boAt Rockerz 550 Over-Ear Wireless Headphone with Ergonomic Aesthetics, Plush Padded Earcups, Immersive Audio, Bluetooth v...","1,499","8,526",https://m.media-amazon.com/images/I/710XhG8bO3L._AC_UY218_.jpg
headphone,"pTron Studio Over-Ear Bluetooth 5.0 Wireless Headphones, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweig...",699,"2,870",https://m.media-amazon.com/images/I/513mDbXPxaS._AC_UY218_.jpg
headphone,"pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio...",179,"2,527",https://m.media-amazon.com/images/I/51opLBd1kgL._AC_UY218_.jpg
headphone,boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),499,"34,470",https://m.media-amazon.com/images/I/61+tzvHZi+L._AC_UY218_.jpg
headphone,"Cosmic Byte GS430 Gaming Headphone, 7 Color RGB LED and Microphone for PC, PS5, Xbox, Mobiles, Tablets, Laptops (Black)",849,"1,564",https://m.media-amazon.com/images/I/7154EWu-5LL._AC_UY218_.jpg
headphone,boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),349,"155,642",https://m.media-amazon.com/images/I/719elVA3FvL._AC_UY218_.jpg
headphone,iBall Kids Diva Wired Headphone with in line Volume Controller (Violet and Pink),526,"1,510",https://m.media-amazon.com/images/I/71IPlO9Rl0L._AC_UY218_.jpg
headphone,"Zebronics Zeb-Thunder Wireless BT Headphone Comes with 40mm Drivers, AUX Connectivity, Built in FM, Call Function, 9Hrs* P...",699,"16,459",https://m.media-amazon.com/images/I/81cJ1kUT1LL._AC_UY218_.jpg
headphone,boAt Rockerz 450 Bluetooth On-Ear Headphone with Mic(Aqua Blue),999,"23,314",https://m.media-amazon.com/images/I/61WjZrbnqML._AC_UY218_.jpg
headphone,"LAPCARE Stereo Headset LWS-004 Headphone with Flexible Mic for PC, Mobiles, Play Station, Xbox, Tablets",549,555,https://m.media-amazon.com/images/I/51JTCsGxZ1L._AC_UY218_.jpg
headphone,"Zebronics Zeb-Duke Bluetooth Headphone with Voice Assistant Support, Multifunction Button, AUX Input and RGB Lights (Black)","1,299","2,428",https://m.media-amazon.com/images/I/71p1qpkQy4L._AC_UY218_.jpg
headphone,boAt Rockerz 510 Bluetooth On-Ear Headphone with Mic(Furious Blue),"1,399","31,123",https://m.media-amazon.com/images/I/61OU6uUy1SL._AC_UY218_.jpg
